Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0001,
Sample Interval,1e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.02
Label,,
TIME,CH1,CH2
-5.0000e-04,-0.12,0.04
-4.9990e-04,-0.14,0.04
-4.9980e-04,-0.14,0.0408
-4.9970e-04,-0.14,0.04
-4.9960e-04,-0.14,0.0408
-4.9950e-04,-0.16,0.0408
-4.9940e-04,-0.16,0.0408
-4.9930e-04,-0.18,0.0408
-4.9920e-04,-0.18,0.0408
-4.9910e-04,-0.2,0.0416
-4.9900e-04,-0.22,0.0424
-4.9890e-04,-0.22,0.0408
-4.9880e-04,-0.22,0.0416
-4.9870e-04,-0.22,0.0424
-4.9860e-04,-0.26,0.044
-4.9850e-04,-0.24,0.0432
-4.9840e-04,-0.26,0.0432
-4.9830e-04,-0.26,0.0448
-4.9820e-04,-0.28,0.0448
-4.9810e-04,-0.28,0.0448
-4.9800e-04,-0.3,0.0432
-4.9790e-04,-0.28,0.0432
-4.9780e-04,-0.3,0.0448
-4.9770e-04,-0.3,0.044
-4.9760e-04,-0.34,0.0448
-4.9750e-04,-0.34,0.0456
-4.9740e-04,-0.32,0.0456
-4.9730e-04,-0.36,0.0456
-4.9720e-04,-0.36,0.0456
-4.9710e-04,-0.36,0.0456
-4.9700e-04,-0.38,0.0472
-4.9690e-04,-0.38,0.0464
-4.9680e-04,-0.4,0.0472
-4.9670e-04,-0.38,0.0464
-4.9660e-04,-0.38,0.0488
-4.9650e-04,-0.44,0.0472
-4.9640e-04,-0.44,0.0472
-4.9630e-04,-0.42,0.048
-4.9620e-04,-0.44,0.0472
-4.9610e-04,-0.46,0.048
-4.9600e-04,-0.48,0.0472
-4.9590e-04,-0.46,0.048
-4.9580e-04,-0.46,0.0496
-4.9570e-04,-0.48,0.0488
-4.9560e-04,-0.5,0.0496
-4.9550e-04,-0.52,0.0496
-4.9540e-04,-0.5,0.0488
-4.9530e-04,-0.52,0.0496
-4.9520e-04,-0.52,0.0496
-4.9510e-04,-0.54,0.0496
-4.9500e-04,-0.54,0.0496
-4.9490e-04,-0.54,0.0504
-4.9480e-04,-0.56,0.0496
-4.9470e-04,-0.58,0.0512
-4.9460e-04,-0.58,0.0504
-4.9450e-04,-0.56,0.0512
-4.9440e-04,-0.6,0.0496
-4.9430e-04,-0.6,0.0504
-4.9420e-04,-0.6,0.0512
-4.9410e-04,-0.62,0.0512
-4.9400e-04,-0.64,0.0512
-4.9390e-04,-0.62,0.052
-4.9380e-04,-0.64,0.052
-4.9370e-04,-0.64,0.0536
-4.9360e-04,-0.66,0.0528
-4.9350e-04,-0.66,0.0536
-4.9340e-04,-0.66,0.0536
-4.9330e-04,-0.68,0.052
-4.9320e-04,-0.68,0.0536
-4.9310e-04,-0.7,0.0536
-4.9300e-04,-0.68,0.0528
-4.9290e-04,-0.72,0.0536
-4.9280e-04,-0.72,0.0544
-4.9270e-04,-0.74,0.0528
-4.9260e-04,-0.74,0.0552
-4.9250e-04,-0.74,0.0536
-4.9240e-04,-0.74,0.0536
-4.9230e-04,-0.76,0.0552
-4.9220e-04,-0.76,0.0552
-4.9210e-04,-0.78,0.0544
-4.9200e-04,-0.76,0.0544
-4.9190e-04,-0.8,0.056
-4.9180e-04,-0.8,0.0544
-4.9170e-04,-0.82,0.0552
-4.9160e-04,-0.82,0.0544
-4.9150e-04,-0.82,0.056
-4.9140e-04,-0.8,0.056
-4.9130e-04,-0.84,0.0568
-4.9120e-04,-0.82,0.0552
