Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-1.000e-03,-0.28,0.64
-9.998e-04,-0.24,0.64
-9.996e-04,-0.24,0.64
-9.994e-04,-0.24,0.64
-9.992e-04,-0.16,0.64
-9.990e-04,-0.24,0.6
-9.988e-04,-0.24,0.6
-9.986e-04,-0.2,0.64
-9.984e-04,-0.2,0.64
-9.982e-04,-0.24,0.64
-9.980e-04,-0.16,0.64
-9.978e-04,-0.12,0.64
-9.976e-04,-0.2,0.64
-9.974e-04,-0.16,0.64
-9.972e-04,-0.12,0.64
-9.970e-04,-0.16,0.64
-9.968e-04,-0.2,0.68
-9.966e-04,-0.2,0.68
-9.964e-04,-0.12,0.68
-9.962e-04,-0.12,0.64
-9.960e-04,-0.08,0.68
-9.958e-04,-0.12,0.64
-9.956e-04,-0.2,0.64
-9.954e-04,-0.12,0.68
-9.952e-04,-0.08,0.64
-9.950e-04,-0.12,0.64
-9.948e-04,-0.16,0.64
-9.946e-04,-0.12,0.76
-9.944e-04,-0.2,0.64
-9.942e-04,-0.08,0.72
-9.940e-04,-0.08,0.72
-9.938e-04,-0.12,0.68
-9.936e-04,0.04,0.72
-9.934e-04,0.08,0.68
-9.932e-04,-0.08,0.72
-9.930e-04,-0.12,0.76
-9.928e-04,-0.08,0.72
-9.926e-04,0,0.72
-9.924e-04,-0.08,0.72
-9.922e-04,-0.04,0.76
-9.920e-04,0.08,0.68
-9.918e-04,-0.08,0.72
-9.916e-04,-0.04,0.68
-9.914e-04,-0.04,0.68
-9.912e-04,0,0.76
-9.910e-04,0,0.76
-9.908e-04,0.04,0.72
-9.906e-04,0.08,0.72
-9.904e-04,0.04,0.72
-9.902e-04,0.04,0.72
-9.900e-04,0,0.76
-9.898e-04,0,0.72
-9.896e-04,0,0.72
-9.894e-04,0.08,0.76
-9.892e-04,0.04,0.76
-9.890e-04,0.04,0.76
-9.888e-04,0,0.76
-9.886e-04,0.08,0.76
-9.884e-04,0.16,0.76
-9.882e-04,0.12,0.76
-9.880e-04,0.04,0.76
-9.878e-04,0.12,0.76
-9.876e-04,0.12,0.76
-9.874e-04,0.2,0.76
-9.872e-04,0.08,0.68
-9.870e-04,0.12,0.76
-9.868e-04,0.08,0.76
-9.866e-04,0.16,0.76
-9.864e-04,0.2,0.76
-9.862e-04,0.24,0.76
-9.860e-04,0.24,0.72
-9.858e-04,0.24,0.76
-9.856e-04,0.24,0.76
-9.854e-04,0.2,0.76
-9.852e-04,0.16,0.76
-9.850e-04,0.24,0.76
-9.848e-04,0.16,0.76
-9.846e-04,0.2,0.76
-9.844e-04,0.2,0.76
-9.842e-04,0.24,0.76
-9.840e-04,0.2,0.8
-9.838e-04,0.28,0.76
-9.836e-04,0.36,0.76
-9.834e-04,0.24,0.76
-9.832e-04,0.32,0.8
-9.830e-04,0.24,0.8
-9.828e-04,0.24,0.8
-9.826e-04,0.36,0.76
-9.824e-04,0.32,0.84
-9.822e-04,0.32,0.84
-9.820e-04,0.32,0.84
-9.818e-04,0.32,0.8
-9.816e-04,0.2,0.84
-9.814e-04,0.24,0.8
-9.812e-04,0.28,0.8
-9.810e-04,0.32,0.8
-9.808e-04,0.32,0.8
-9.806e-04,0.28,0.8
-9.804e-04,0.28,0.76
-9.802e-04,0.32,0.76
-9.800e-04,0.32,0.8
-9.798e-04,0.44,0.76
-9.796e-04,0.28,0.84
-9.794e-04,0.36,0.84
-9.792e-04,0.4,0.8
-9.790e-04,0.36,0.8
-9.788e-04,0.44,0.8
-9.786e-04,0.44,0.84
-9.784e-04,0.36,0.84
-9.782e-04,0.4,0.8
-9.780e-04,0.4,0.8
-9.778e-04,0.36,0.8
-9.776e-04,0.4,0.76
-9.774e-04,0.48,0.8
-9.772e-04,0.48,0.84
-9.770e-04,0.4,0.84
-9.768e-04,0.44,0.76
-9.766e-04,0.56,0.8
-9.764e-04,0.4,0.88
-9.762e-04,0.44,0.8
-9.760e-04,0.56,0.8
-9.758e-04,0.48,0.84
-9.756e-04,0.48,0.84
-9.754e-04,0.44,0.8
-9.752e-04,0.52,0.84
-9.750e-04,0.52,0.84
-9.748e-04,0.52,0.84
-9.746e-04,0.52,0.8
-9.744e-04,0.56,0.84
-9.742e-04,0.56,0.84
-9.740e-04,0.56,0.8
-9.738e-04,0.52,0.84
-9.736e-04,0.6,0.88
-9.734e-04,0.56,0.84
-9.732e-04,0.48,0.84
-9.730e-04,0.6,0.84
-9.728e-04,0.52,0.84
-9.726e-04,0.6,0.84
-9.724e-04,0.56,0.8
-9.722e-04,0.56,0.76
-9.720e-04,0.68,0.88
-9.718e-04,0.6,0.84
-9.716e-04,0.52,0.8
-9.714e-04,0.6,0.8
-9.712e-04,0.64,0.84
-9.710e-04,0.6,0.84
